
Liste des tickets avec taches GLPI migrees vers DSIHUB
Total: 11279 tickets, 15577 taches GLPI migrees
Ticket #96 | Archivage fichiers de pointage | 1 tache(s) | IDs GLPI: 51114
Ticket #562 | TR: Demande d'ouverture de droits salle de réunion RECTIFICATIF | 1 tache(s) | IDs GLPI: 50680
Ticket #566 | mot de passe session | 2 tache(s) | IDs GLPI: 50676,50677
Ticket #570 | connexion tiem viewer | 1 tache(s) | IDs GLPI: 50672
Ticket #571 | Problème imprimante | 3 tache(s) | IDs GLPI: 50667,50668,50669
Ticket #575 | Ordinateur windows 1 | 1 tache(s) | IDs GLPI: 50664
Ticket #577 | CREATION D'UN ESPACE PARTAGE GRU (entité n'ayant pas de X) | 1 tache(s) | IDs GLPI: 50661
Ticket #578 | dossier dans X(DBC) | 1 tache(s) | IDs GLPI: 50659
Ticket #582 | lecteurs réseau non disponible | 1 tache(s) | IDs GLPI: 50658
Ticket #583 | changement de mot de passe | 1 tache(s) | IDs GLPI: 50657
Ticket #584 | A l'attention de Sylvie | 1 tache(s) | IDs GLPI: 50656
Ticket #585 | TR: ordi | 2 tache(s) | IDs GLPI: 50653,50654
Ticket #586 | SIgnature outlook | 1 tache(s) | IDs GLPI: 50651
Ticket #587 | problème document emuse | 1 tache(s) | IDs GLPI: 50650
Ticket #595 | TR: Imprimante | 2 tache(s) | IDs GLPI: 50642,50643
Ticket #599 | TR: Soucis de réseau  | 1 tache(s) | IDs GLPI: 50639
Ticket #600 | Dossiers publics | 1 tache(s) | IDs GLPI: 50635
Ticket #603 | problème d'accès intranet - air delib - elise | 1 tache(s) | IDs GLPI: 50631
Ticket #604 | Problème messagerie outlook | 1 tache(s) | IDs GLPI: 50630
Ticket #605 | Porlbème d'affichage sur le bureau | 1 tache(s) | IDs GLPI: 50629
Ticket #609 | problème de déplacement avec sa souris | 1 tache(s) | IDs GLPI: 50622
Ticket #610 | problème connexion internet ou boite mail  | 1 tache(s) | IDs GLPI: 50621
Ticket #612 | PRorblème coriolis création d'un bon de commande | 1 tache(s) | IDs GLPI: 50619
Ticket #613 | TR: DEMANDE D'INTERVENTION PRISE INTERNET MISSION LOCALE | 1 tache(s) | IDs GLPI: 50618
Ticket #614 | Problème messagerie | 1 tache(s) | IDs GLPI: 50616
Ticket #615 | TR: TR: Soucis de réseau  | 2 tache(s) | IDs GLPI: 50612,50614
Ticket #616 | problèe connexion réseau  | 1 tache(s) | IDs GLPI: 50610
Ticket #618 | problème réseau avec outlook  | 1 tache(s) | IDs GLPI: 50609
Ticket #620 | Problème avec ma lecture OPUS sur L'OAC maternelle | 1 tache(s) | IDs GLPI: 50607
Ticket #624 | Déplacement imprimante. | 1 tache(s) | IDs GLPI: 50601
Ticket #626 | TR: Reponse mail CCAS SSIAD | 1 tache(s) | IDs GLPI: 50598
Ticket #627 | et ça continue encore et encore..... | 1 tache(s) | IDs GLPI: 50595
Ticket #628 | voilà la suite..merci de votre aide | 1 tache(s) | IDs GLPI: 50592
Ticket #629 | demande modifications files d'impression utilisateur | 2 tache(s) | IDs GLPI: 50589,50590
Ticket #631 | pas d'accès à corliolis | 1 tache(s) | IDs GLPI: 50587
Ticket #632 | Utilisateur Windows 10 | 1 tache(s) | IDs GLPI: 50586
Ticket #633 | TRES TRES URGENT RETRAITES | 1 tache(s) | IDs GLPI: 50583
Ticket #634 | Boite mail Sylvie jouhandou | 3 tache(s) | IDs GLPI: 50577,50578,50580
Ticket #636 | TR: Message delivery incomplete | 1 tache(s) | IDs GLPI: 50575
Ticket #638 | Message sophos | 2 tache(s) | IDs GLPI: 50570,50571
Ticket #640 | Probleme logiciel de billeterie | 1 tache(s) | IDs GLPI: 50568
Ticket #641 | Dysfonctionnement de douchette Thorez élémentaire | 1 tache(s) | IDs GLPI: 50566
Ticket #642 | PROBLEME DE RESEAU | 1 tache(s) | IDs GLPI: 50564
Ticket #643 | Problème d'accès aux dossiers outlook | 1 tache(s) | IDs GLPI: 50562
Ticket #644 | Protection d'un dossier | 2 tache(s) | IDs GLPI: 50559,50560
Ticket #647 | TR : ARCHIMED &gt; Mise à jour | 2 tache(s) | IDs GLPI: 50549,50551
Ticket #648 | Transfert de lignes pour accès informatique | 1 tache(s) | IDs GLPI: 50547
Ticket #649 | problèmes plus réseau | 1 tache(s) | IDs GLPI: 50546
Ticket #650 | PLUS DE CORIOLIS | 2 tache(s) | IDs GLPI: 50543,50544
Ticket #651 | Imprimante | 1 tache(s) | IDs GLPI: 50541
Ticket #653 | Demande Conservatoire : Accès IMuse | 1 tache(s) | IDs GLPI: 50538
Ticket #654 | TR: Declaration sinistre imprimante MQIP. | 1 tache(s) | IDs GLPI: 50535
Ticket #659 | connexion de la session maidis sur un autre ordinateur | 1 tache(s) | IDs GLPI: 50531
Ticket #662 | Dossier personnel inacessible dans outlook | 1 tache(s) | IDs GLPI: 50528
Ticket #664 | TEAMVIEWER | 1 tache(s) | IDs GLPI: 50526
Ticket #667 | Problème avec l'ordinateur et l'imprimante | 1 tache(s) | IDs GLPI: 50521
Ticket #671 | problèmes mélodie | 1 tache(s) | IDs GLPI: 50513
Ticket #672 | Suppression de fichier | 1 tache(s) | IDs GLPI: 50512
Ticket #674 | TR: mail.ivry94.fr Mail delivery failed : returning message to sender | 1 tache(s) | IDs GLPI: 50509
Ticket #675 | : vmarques@ivry94.fr vous a envoyé des fichiers avec WeTransfer | 2 tache(s) | IDs GLPI: 50506,50507
Ticket #676 | partage boîte mail | 1 tache(s) | IDs GLPI: 50504
Ticket #677 | problème d'enregistrement d'un pli dématérialisé sur le réseau E200 | 1 tache(s) | IDs GLPI: 50502
Ticket #679 | DEMANDE INSTALLATION IMPRIMANTE  | 1 tache(s) | IDs GLPI: 50500
Ticket #680 | ACCES | 1 tache(s) | IDs GLPI: 50499
Ticket #681 | ACCES BOITE GENERIQUE | 1 tache(s) | IDs GLPI: 50496
Ticket #682 | PHOTOCOPIEUSE A PARAMETRER A LA DIRECTION JEUNESSE | 4 tache(s) | IDs GLPI: 50491,50492,50493,50494
Ticket #683 | problème boite de réception Outlook | 3 tache(s) | IDs GLPI: 50486,50487,50489
Ticket #684 | AIRSDELIB // Modif GPO fichier AIRS_OPENFILES.properties | 1 tache(s) | IDs GLPI: 50482
Ticket #685 | Espace disque faible | 1 tache(s) | IDs GLPI: 50479
Ticket #687 | paramétrage à modifier | 2 tache(s) | IDs GLPI: 50475,50476
Ticket #688 | Création de compte outloock | 4 tache(s) | IDs GLPI: 50471,50472,50473,50474
Ticket #689 | Création de compte outloock | 2 tache(s) | IDs GLPI: 50468,50469
Ticket #690 | Création de compte outloock | 2 tache(s) | IDs GLPI: 50465,50466
Ticket #693 | TR: Accès calendrier  | 1 tache(s) | IDs GLPI: 50460
Ticket #696 | ouverture session sur profil TEMP | 4 tache(s) | IDs GLPI: 50449,50451,50453,50454
Ticket #699 | dysfonctionnement ce matin à la médiathèque | 1 tache(s) | IDs GLPI: 50447
Ticket #703 | problème d'impression photocopie 2 de l'hôtel de ville | 1 tache(s) | IDs GLPI: 50439
Ticket #706 | pb accès lecteur réseau X | 1 tache(s) | IDs GLPI: 50437
Ticket #707 | Utilisateur en W10 | 1 tache(s) | IDs GLPI: 50435
Ticket #709 | probleme imprimante | 1 tache(s) | IDs GLPI: 50433
Ticket #710 | DEMANDE D'AJOUT AU GROUPE D'impression | 1 tache(s) | IDs GLPI: 50432
Ticket #711 | réinitialisation du mot de passe | 1 tache(s) | IDs GLPI: 50430
Ticket #712 | Demande d'accès messagerie "ville" | 3 tache(s) | IDs GLPI: 50426,50427,50429
Ticket #713 | réinitialisation du mot de passe | 1 tache(s) | IDs GLPI: 50424
Ticket #714 | Archives Outlook inaccessibles | 1 tache(s) | IDs GLPI: 50423
Ticket #715 | demande d'accès wifi  | 1 tache(s) | IDs GLPI: 50421
Ticket #716 | Connexion outlook domicile | 1 tache(s) | IDs GLPI: 50418
Ticket #717 | résolution d'écran | 1 tache(s) | IDs GLPI: 50417
Ticket #720 | Fusion des services EBC et ERP pour l'intranet en Service Maintenance Prévention Patrimoine Bâti | 2 tache(s) | IDs GLPI: 50415,50416
Ticket #722 | changement de lieu | 1 tache(s) | IDs GLPI: 50413
Ticket #723 | RE: Fiche arrivée | 1 tache(s) | IDs GLPI: 50409
Ticket #725 | problème imprimante | 1 tache(s) | IDs GLPI: 50406
Ticket #726 | Imprimante | 3 tache(s) | IDs GLPI: 50403,50404,50405
Ticket #728 | mdp expiré | 1 tache(s) | IDs GLPI: 50400
Ticket #729 | Problème 'dossier X' | 4 tache(s) | IDs GLPI: 50395,50397,50398,50399
Ticket #731 | TR: Fiche_arrivee_changement_service_depart_Pierquin Nathalie | 1 tache(s) | IDs GLPI: 50393
Ticket #733 | Problème de droits - Exception de sécurité Mozilla | 2 tache(s) | IDs GLPI: 50388,50390
Ticket #736 | PROBLEME CONNEXION | 1 tache(s) | IDs GLPI: 50386
Ticket #738 | demande | 1 tache(s) | IDs GLPI: 50384
Ticket #740 | droits | 1 tache(s) | IDs GLPI: 50377
Ticket #743 | boite mail | 1 tache(s) | IDs GLPI: 50375
Ticket #746 | Pb UC 17061 | 1 tache(s) | IDs GLPI: 50367
Ticket #748 | ecran 19' HS | 1 tache(s) | IDs GLPI: 50366
Ticket #750 | PAS DE CONNEXION INTERNET  - POINT INFORMATION JEUNESSE - POINT CYB | 1 tache(s) | IDs GLPI: 50363
Ticket #751 | Support Hot-Line souhaité pour gestion d'un dossier personnel | 2 tache(s) | IDs GLPI: 50361,50362
Ticket #753 | création d'adresse mail | 2 tache(s) | IDs GLPI: 50357,50358
Ticket #756 | PISCINE : pb d acces a un dossier partagé, contenu disparu | 2 tache(s) | IDs GLPI: 50349,50351
Ticket #762 | Problème d'accès aux mails archivés sur outlook | 1 tache(s) | IDs GLPI: 50347
Ticket #764 | Problème Téléphone. | 1 tache(s) | IDs GLPI: 50345
Ticket #767 | code puk  | 1 tache(s) | IDs GLPI: 50341
Ticket #768 | Lenteur Pelehas | 1 tache(s) | IDs GLPI: 50338
Ticket #771 | double écran | 1 tache(s) | IDs GLPI: 50332
Ticket #773 | DEMANDE DE QUOTA | 1 tache(s) | IDs GLPI: 50331
Ticket #775 | Supprimer ma messagerie | 2 tache(s) | IDs GLPI: 50323,50324
Ticket #778 | Demande de récupération mail supprimé sur Outlook | 1 tache(s) | IDs GLPI: 50319
Ticket #780 | messagerie externe | 1 tache(s) | IDs GLPI: 50316
Ticket #787 | CONNEXION INTERNET | 1 tache(s) | IDs GLPI: 50309
Ticket #788 | Problème d'impression | 1 tache(s) | IDs GLPI: 50307
Ticket #789 | Changement de poste | 1 tache(s) | IDs GLPI: 50306
Ticket #792 | Poste en W10 | 1 tache(s) | IDs GLPI: 50303
Ticket #793 | pb envoi et réception mail externe | 2 tache(s) | IDs GLPI: 50300,50301
Ticket #795 | AU SECOURS  !!! toujours sans dossier X !!!! | 1 tache(s) | IDs GLPI: 50298
Ticket #796 | adresse mail | 1 tache(s) | IDs GLPI: 50296
Ticket #797 | Pb scan to mail | 1 tache(s) | IDs GLPI: 50294
Ticket #798 | Problème d'accès... | 1 tache(s) | IDs GLPI: 50292
Ticket #799 | Déblocage site | 4 tache(s) | IDs GLPI: 50286,50288,50289,50290
Ticket #800 | Pb d'impression avec HP P305 | 1 tache(s) | IDs GLPI: 50284
Ticket #801 | RE: Problème d'accès... | 3 tache(s) | IDs GLPI: 50280,50281,50282
Ticket #802 | panne d'écran de Lucie Guezenec | 1 tache(s) | IDs GLPI: 50278
Ticket #805 | restauration fichiers | 1 tache(s) | IDs GLPI: 50275
Ticket #806 | imprimante pdf creator | 1 tache(s) | IDs GLPI: 50273
Ticket #810 | boite ccas ssiad | 1 tache(s) | IDs GLPI: 50269
Ticket #812 | RECHERCHE DOSSIER | 2 tache(s) | IDs GLPI: 50265,50266
Ticket #814 | souci de connexion internet | 2 tache(s) | IDs GLPI: 50262,50263
Ticket #815 | TR: Accès à un dossier / création e-mail | 2 tache(s) | IDs GLPI: 50260,50261
Ticket #816 | VOIR CourrierEliseTest@ivry94.fr associé au compte CourrierEliseTest (je crois) | 1 tache(s) | IDs GLPI: 50258
Ticket #818 | Demande prêt d'un ordinateur / ALSH Thorez élémentaire  | 1 tache(s) | IDs GLPI: 50256
Ticket #823 | problème | 1 tache(s) | IDs GLPI: 50250
Ticket #825 | Disque dur saturé | 1 tache(s) | IDs GLPI: 50248
Ticket #827 | TR: IVRY-SUR-SEINE | 1 tache(s) | IDs GLPI: 50245
Ticket #828 | TR: Demande de renouvellement de certificat | 1 tache(s) | IDs GLPI: 50243
Ticket #833 | Privilèges Admin local | 1 tache(s) | IDs GLPI: 50237
Ticket #835 | CMS FORMULAIRE DE DEMANDE CREATION DE COMPTE SCAPELLI | 1 tache(s) | IDs GLPI: 50235
Ticket #839 | demande de mémoire  | 1 tache(s) | IDs GLPI: 50229
Ticket #840 | demande de droits arrivée agent service EDC | 4 tache(s) | IDs GLPI: 50222,50223,50224,50225
Ticket #842 | REFONTE DU SYSTEME DE SECURITE INFORMATIQUE  - POINT INFORMATION JEUNESSE  - POINT CYB | 1 tache(s) | IDs GLPI: 50219
Ticket #843 | SCC - Création compte | 1 tache(s) | IDs GLPI: 50215
Ticket #845 | CONTACT OUTLOOK | 1 tache(s) | IDs GLPI: 50212
Ticket #847 | SCC - Création Compte | 1 tache(s) | IDs GLPI: 50207
Ticket #853 | modification des horaires de session en prévision de la nuit de la lecture | 2 tache(s) | IDs GLPI: 50202,50204
Ticket #859 | Suite à la création de compte pour le service | 1 tache(s) | IDs GLPI: 50200
Ticket #861 | Fwd: Ordinateur portable Multimédia | 2 tache(s) | IDs GLPI: 50195,50196
Ticket #865 | TR: Demande d'ouverture de droits salle de réunion RECTIFICATIF | 1 tache(s) | IDs GLPI: 50193
Ticket #868 | Choukri Jamila_arrivee_changement_service_depart (2) (2) | 5 tache(s) | IDs GLPI: 50180,50183,50185,50187,50188
Ticket #870 | TR: Quarantine Report for darmand@ivry94.fr | 1 tache(s) | IDs GLPI: 50177
Ticket #872 | TR: Quarantine Report for planvelo@ivry94.fr | 2 tache(s) | IDs GLPI: 50173,50175
Ticket #874 | Autorisation accès dossier | 1 tache(s) | IDs GLPI: 50169
Ticket #883 | un dossier du bureau a disparu | 1 tache(s) | IDs GLPI: 50159
Ticket #884 | panne | 1 tache(s) | IDs GLPI: 50156
Ticket #886 | autre panne... | 1 tache(s) | IDs GLPI: 50154
Ticket #887 | télephone et Ordinateur | 1 tache(s) | IDs GLPI: 50153
Ticket #889 | Problème d'enregistrement | 1 tache(s) | IDs GLPI: 50150
Ticket #892 | AU SECOURS  | 2 tache(s) | IDs GLPI: 50144,50146
Ticket #894 | EFFACEMENT DE DONNEES SUR FICHIER  EXCEL PAR ERREUR | 2 tache(s) | IDs GLPI: 50140,50142
Ticket #902 | Pb Quota | 1 tache(s) | IDs GLPI: 50137
Ticket #904 | TR: [GLPI #0000843] Nouvel utilisateur demandeur SCC - Création compte | 2 tache(s) | IDs GLPI: 50133,50135
