Direction;emailDIR;Date;Quoi ?;Type;Service;EmailSER;Cout TTC;Arbitrage ;Priorité;Suivi;Commentaire ?;TICKET;LIEN;DSI;SUIVI2;GRU
CCAS;;04/11/2025;Millésime facturation SAAD;Projet;SPPAAVQ;;;OK DSI;;Fait;"Michel TESTA a signalé une erreur lors de la génération des factures de juin 2025.
Yassine TARAKI a relancé le prestataire dès le 4 novembre 2025 pour corriger le problème et éviter tout retard.";;;YTA;;Oui
CMS;;09/12/2025;Borne d'accueil pour paiements;Projet;AFL;;;DG 2027;;A étudier en 2027;"Demande de borne d'accueil avec Galaxie pour les actes en série pour payer les consultations
 à cause de la queue, évite erreur de saisie des factures";;;YTA;;Oui
CMS;;09/12/2025;Logiciel métier CMPP;Projet;CMPP;;20 675;DSI;;En cours étude contacter ytaraki@ivry94.fr;"Remplacement Logiciel métier Faure par IMAGO ou autre, Catherine MARTIN a demandé 
si il y avait un cahier des charges Un partie des actes devront être facturé et ne pas passer 
par le CEPOM donc le logiciel devra être interopérable avec un logiciel de facturation
comme Galaxie ou autre avec la norme HL7 donc affiner le besoin.
De plus, souhait de mutualiser le même logiciel pour le CMPP et 
le CMS pour faire un seul pôle facturation de la Direction";;;YTA;Chiffrage 20675 euros est sur 3 ans en investissement;
DAC;;04/11/2025;Syracuse;Projet;MED;;?;DSI;;A planfier contacter claffrat@ivry94.fr;"Syracuse: SI de la bibliothèque, portail des bibliothèques. 
Ne semble pas conforme aux normes RGAA, quelles mesures à prendre pour être en conformité ? Voir avec éditeur, Cf référent ";;;CLA;;
DAC;;04/11/2025;Outil de billeterie;Projet;CM;;1500;OK DSI;;A planifier contacter claffrat@ivry94.fr;"Organise évènements hors les murs, besoin d'un outil de billetterie.
Voir avec soTicket";;;CLA;En complément du Hangar, Plus de responsable du conservatoire donc projet en attente;Oui
DAC;;04/11/2025;Imuse Extranet ;Projet;DAC;;?;?;;A préciser besoins contacter claffrat@ivry94.fr;"Extranet (pour familles et enseignants) ok pour le conservatoire, est-ce qu'on élargit son usage aux autres services.
Hangar et Galerie Fernand Léger.";;;CLA;Voir la problématique;
DAC;;04/11/2025;Neos;Projet;MED;;?;OK DSI;;En cours de mise en œuvre contacter nchemame@ivry94.fr;Demande de passage à Neos depuis Edutice CPI NCH;;;NCH;;
DAC;;04/11/2025;Planno;Projet;DAC;;?;OK DSI;;En cours d'étude contacter claffrat@ivry94.fr;"Planno: Demande de mise en place de l’outil de planning dans tous les services pour agents annualisés.
Besoin d’un module congés: payant, diminuerait le temps passé à faire les plannings.
Réunion avec Vanessa Centonze-DRH-DAC-DSI à prévoir pour gestion des congés";;;CLA;Voir l'expérimentation Congés/DAC;
DAC;;04/11/2025;Interface Imuse/Concerto;Projet;CM;;5000;DSI;;En cours étude besoins contacter claffrat@ivry94.fr;interopérabilité entre les 2 logiciels : études en cours pour facturation commune par le Pôle Famille;;;CLA/NCH;Interface Concerto Imuse plus maintenu dans concerto V7 selon Marc donc étudier besoin;
DAJCP;;09/10/2025;ADAGIO V7;Projet;AFFCV;;9080;OK DSI;;A étudier contacter claffrat@ivry94.fr;montée de version avant les élections si possible, à arbitrer avec Marc Chevalier;;;CLA;;Oui
DAJCP;;09/10/2025;Vote électronique;Projet;SCC;;40000;DG 2027;2;A étudier en 2027;"à installer pour le début de mandat en juin (au plus tard octobre 2026), via un boîtier électronique, 
solution souple qui permette de passer du vote électronique au vote à mains levée. 
Gestion du processus en CM à déterminer avec SCC. Organiser un test avec plusieurs élus (tous confondus).";;;CLA;Sur boitier ou tablette ?;
DAJCP;;09/10/2025;Alto;Projet;AFFCIV;;?;OK DSI;;Benchmark à planifier contacter claffrat@ivry94.fr;"trouver une alternative pour le suivi des demandes de CNI et Passeport en 2026
Benchmark à faire par Christophe Laffrat (BDP)";;;CLA;;Oui
DAJCP;;09/10/2025;Airdelib V7;Projet;SCC;;6426;OK DSI;;Opportunité à étudier T3 2026 contacter claffrat@ivry94.fr;demander documentation sur les nouvelles fonctionnalités, montée de version à planifier après le CM de juin;;;CLA;;
DBC;;05/11/2025;portail ASTECH pour chefs établissements;Projet;DBC;;0;OK DSI;;A étudier;Astech les chefs d'établissements puissent faire des demandes de travaux via un portail;;;NCH;la com si ils sont satisfaits on passe sur 3 ans en;
DBC;;05/11/2025;Cablage réseau CAT;Projet;DBC;;40000;OK DSI ;;En cours;;;;IRS;intéressant de renouveller sur un an. Benjamin va voir avec;
DBC;;05/11/2025;Astech AWO passage à Symphonie version full web;Projet;BE;;15000;DG 2026;2;En cours d'étude contacter nchemame@ivry94.fr;Prestations d'accompagenement et de formations, faire étude de faisabilité sur compatibilité avec la gestion locative;;;NCH;;
DBC ;;05/11/2025;SAFE FME (BE);Projet;;;12000;DG 2026;2;En cours contacter machevalier@ivry94.fr;Demande de logiciel FME produit pas Safe projection de plan DWG à 9500 euros ht un peu chère;;;MCH;;
CMS;;09/12/2025;Lecture des scanners avec logiciel;Demande;SCMS;;;DSI;;Demande annulée;"Pour lire des CD ou DVD de scanners IRM cela ne fonctionne pas sur les ordinateurs portables et
ordinateurs fixes donc ouvrir ticket hotline pour voir si il faut installer un logiciel particulier pouvant lire les scanners";;;SSD;Demande annulée - Dermato seule demandeuse et partie…;
DSALE;;18/11/2025;Formation Teams;Demande;SE;;0;OK DSI ;;à organiser;Besoin formation Teams et outils collaboratifs;;;DSI;;
DDU;;26/11/2025;Envoi de fichiers volumineux;Demande;SUR;;0;OK DSI ;;à organiser;Muriel utilise WeTransfer. Farouk indique qu’Outlook Web permet d’envoyer de gros fichiers et va demander à Lucas RUGOULAT s'il dispose d'un tutoriel. Réponse Lucas oui mais attente validation du document par Marc.;;;DSI;;
CMS;;09/12/2025;Photocopieur couleurs;Demande;CMPP;;;DG;;Présicer et argumenter l'usage;"Demande d'un photocopieur couleurs en remplacement du noir et blanc quand ils rencontrent des 
enfants faire des activité et imprimer des documents. Et avoir des impressions par défaut 
en noir et blanc car actuellement ils doivent passer par Grégory. Martial doit nous envoyer
des éléments sur la volumétrie des impressions couleurs. Le photocopieur actuel fonctionne bien
mais il y a eu 3 interventions cette année";;;SSD;Préciser l'usage;
DDAC;;05/11/2025;OpenSub;Projet;PVA;;?;DG 2026;1;"Arbitrage de l'articulation avec la DCOM 
contacter claffrat@ivry94.fr";"Fédération d'identités (comptes) du portail de la Com et celui d'OpenSub pour avoir un seul compte
pour les associations pour se connecter.";;;CLA;;Oui
DDAC;;05/11/2025;OpenSub;Projet;PVA;;4100;OK DSI;;En cours contacter claffrat@ivry94.fr;Filien pour les mandats à finaliser + montée de version: voir avec Lantéas quoi faire en premier;;;CLA;;Oui
DDAC;;05/11/2025;Projet Vidéoverbalisation;Projet;PLCI;;20000;OK DSI;;En cours contacter ekron@ivry94.fr;Projet de vidéoverbalisation;;;EKR;;Oui
DDAC;;05/11/2025;Neos filtrage internet EPI;Projet;SVDQ;;?;OK DSI;;En cours de mise en œuvre contacter nchemame@ivry94.fr;"Espace public internet EPI passage d'une grande salle à une autre organiser
réunion sur sujet du passage  à Neos sur les maisons de quartiers";;;NCH;;
DDAC;;05/11/2025;Agora;Projet;PVA;;?;OK DSI;;Etudier l'opportunité contacter claffrat@ivry94.fr;Agora : montée de version pour 2026;;;CLA;;Oui
DDU;;26/11/2025;Parapheur électronique;Projet;SUR;;?;OK DSI;;A Etudier lien CARTADS/iparapheur 2027;"Dématérialisation : Nécessité d’un système d’archivage compatible DDC ou CartADS.
Mise en place visée : 2026 ou 2027. À intégrer au projet CartADS si possible en 2026, sinon ultérieurement.";;;BDP;;
DDU;;26/11/2025;Cart@DS (investissement annuel);Projet;SUR;;20000;OK DSI;;En cours contacter fbouatou@ivry94.fr;Planification prévue en mars 2026;;;FB;;Oui
DDU;;26/11/2025;ESABORA Tablettes;Demande;SHAB;;?;OK DSI ;;Affinier et préciser l'usage contacter ytaraki@ivry94.fr;"Demande de tablettes pour l’usage terrain ESABORA et accès aux ressources type X et application ESABORA.
Farouk rappelle les difficultés actuelles de connexion réseau via tablettes, Franck PILCHART travaille sur une solution.";;;YTA;;
DDU;;26/11/2025;ASTECH  ;Projet;AFLD;;?;OK DSI;;En cours contacter nchemame@ivry94.fr;"Le logiciel de gestion locative ASTECH ne fonctionne pas entièrement : Problèmes connus (ex. transfert des pièces jointes).
Nadir est informé, plusieurs manipulations sont encore nécessaires. Logiciel jugé peu ergonomique.";;;NCH;;Oui
DDU;;26/11/2025;ESABORA;Projet;SHAB;;?;OK DSI ;;En cours contacter ytaraki@ivry94.fr;Mise à jour ESABORA et formation pour 2027;;;YTA;;Oui
DDU;;26/11/2025;PLUi;Projet;SUR;;6000;OK DSI;;En cours d'implémentation SUR et BE;En attente d’informations supplémentaires, un point dédié sera prévu.;;;FB;;Oui
DAC;;04/11/2025;Onduleurs;Demande;AP-GLF;;0;NOK DSI;;En cours;Mise en place d'onduleurs (relancer ticket 38966 en cours);;;IRS;Car déménagement;
CMS;;09/12/2025;Tablette;Demande;SSP;;;OK DSI;;Échéance T2;"Demande une tablette actions or les murs pour Doctolib avec accès internet 
le plus rapidement possible au premier trimestre (semaine après les
élections car nous allons récupérer les tablettes des élections en avril)  
et un PC portable pour des réunions en remplacement d'un ordinateur vieillissant.";43770;Lien;SSD;;
DAC;;04/11/2025;Copieurs;Demande;DAC;;100;OK DSI;;Fait;Copieurs à déplacer de Jean Jacques ROUSSEAU à déplacer au CMPP changement de locaux.;;;SSD;;
DAC;;04/11/2025;CANVA Pro licence supplémentaire;Demande;;;0;OK DSI;;Distribuer les licences actuelles contacter claffrat@ivry94.fr;"Remplacement Canva Pro par Adobe : demande 2024 plus d’actualité. La Direction reste avec Canev Pro.
par contre culture scientifique a besoin d’une license supplémentaire caneva pro (Francesca Asceto)";;;CLA;;
DAC;;04/11/2025;Affichage sans fil;Demande;LUXY;;3000;OK DSI ;;Fait;Affichage sans fil: non installé dans salle 2 et pas de son salle 1;;;SSD;;
DAC;;04/11/2025;Teams pour les gardiens;Demande;DAC;;0;OK DSI;;Fait;"Installation de Teams sur ordinateurs des gardiens de la manufacture + calendrier partagé.
avec autres entités de la Manufacture (Credac, TQI)";;;SSD;;
DAC;;04/11/2025;Imprimante couleur Salle multimédia;Demande;MED;;?;DSI;;Fait;imprimante couleur à changer car l'actuelle est compliquée à changer les cartouches (1 mois sans toner);;;SSD;;
DDU;;26/11/2025;ASTECH pas de gestion du patrimoine;Projet;AFLD;;?;OK DSI;;"Etudier le projet : attente clarification du besoin 
contacter nchemame@ivry94.fr";"Pas de logiciel de gestion du patrimoine ex : entretien des logements sur les résiliations en lien avec le patrimoine.
et le retour sur les travaux fait ou pas, envoi de prise en charges de travaux. Ils n'ont pas de retour sur les travaux.
Ils vont nous envoyer le topo et/ou dossier pour que nous puissions voir avec Astech les possibilités en fonction. Johan SALVAT";;;NCH;"Farouk demande une clarification actualisée des besoins (la dernière analyse date de 3 ans).
Historique : échanges initiaux avec ASTECH en 2013. Alain doit transmettre les éléments à Nadir et mettre Farouk en copie.";
DRH;;11/09/2025;Environnement IvryDeci;Demande;SIRH;;0;OK DSI;;En cours contacter ekron@ivry94.fr;Remmettre en place avec une réplication quotidienne;;;EKR;;
DRH;;11/09/2025;Extractions;Incident;SIRH;;;;;En cours;"Extractions Excel volumineuses, elles ont fonctionné début juillet puis ne fonctionnent plus (à nouveau à plat)
Ce problème d’erreur (504 Gateway Time-out) n’est toujours pas résolu à ce jour.
Selon le SIIB et BL pb viendrait de chez nous, Eléna doit voir avec Marwin pour diag";;;EKR;;
DAC;;04/11/2025;Ecran tactile;Demande;HANGAR;;?;OK DSI ;;Fait;"Hangar écran tactile commandé mais pas le bon écran, ticket 38976, remplacer l'écran reçu
car ne correspond pas au besoin et peut etre voir si convient pour le conservatoire";;;SSD;Echanfe fait écran Hangar régie- Pas de ticket;
DAC;;04/11/2025;MacBook;Demande;HANGAR;;1000;OK DSI ;;Fait;Demande d'un MacBook (ticket 38977) en cours;;;SSD;;
DAC;;04/11/2025;Tablettes;Demande;LUXY;;16000;DG NOK;;NOK voir possibilités de prêts contacter fplichart@ivry94.fr;Demande 20 tablettes avec pied pour ateliers scolaires;;;SSD;Suite arbitrage DG : Marc propose prêt de tablettes Mêmes que Hangar ?;
DAC;;04/11/2025;Imac;Demande;AP-GLF;;?;DSI;;Pour qui ? Préciser demande à fplichart@ivry94.fr;Imac de la prod graphique à changer avec Adobe;;;SSD;;
DEP;;07/10/2025;Pièges photos;Projet;MTV;;?;DG 2027;2;A étudier en 2027;"utilisés pour identifier les dépôts sauvages, en pause – à redéployer.
Rencontre prévue avec une société (Gwenn Adam) pour solution conforme.";;;NCH;"Suite arbitrage DG : Associer Catherine MARTIN plutôt 2027 pas financer en 2026 mais y travailler en 2026 
pour priorité en 2027";Oui
DEP;;07/10/2025;Balayeuse et laveuse outils d'optimisation des trajets ;Projet;MTV;;?;DG 2027;2;A étudier en 2027;réflexion sur un outil d’aide à la décision en temps réel.;;;NCH;Suite arbitrage DG : Dialogue social donc projet long et il manque un chef de service geoloc?;
DSPORTS;;27/11/2025;OpenSub Extraire les données DSPORT;Demande;DDS;;;DSI;;En cours contacter claffrat@ivry94.fr;"Extraire les documents données de la DSPORT car ils doivent ressaisir  les données
Elles ne sont pas exploitables. Voir avec Lanteas comment exploiter les données,
ils souhaitent de l'IA pour les traiter.";;;CLA;;
PF;;16/12/2025;Téléphonie;Demande;PF;;;DSI;;Fait;Téléphonie des soucis au niveau des licences ticket 39035 manque quelques licences voir Pierre;;;IRS;;
DAC;;04/11/2025;Macmini;Demande;AP-GLF;;?;DSI;;Pour qui ?  Préciser demande à fplichart@ivry94.fr;Macmini à remplacer et réinstaller logiciels son et video;;;SSD;;
DAC;;04/11/2025;Wifi;Demande;LUXY;;1000;OK DSI ;;Fait;Bornes wifi à installer: en cours;43101;Lien;IRS;;
DAC;;04/11/2025;Photocopieur couleur;Demande;CM;;3500;DG;;;"Photocopieur couleur car imprime sa propre communication, et récupérer le copieur.
de la maison d'accueil JJ Rousseau au CMPP: ticket à créer";;;SSD;Préciser l'usage;
DEP;;07/10/2025;GIR boite à clé;Projet;PARC;;;OK DSI;;Fait;Parking Marrat : installation physique OK, mise en service en attente.;;;NCH;;
DEP;;07/10/2025;Outils de suivi des fluides (eau, électricité);Projet;MTV;;15000;"DG Etude 
2026";2;Initier étude fin 2026;"75 compteurs d’eau, 100 compteurs d’électricité. Lancement d’un projet global à étudier (eau, électricité, téléphonie).
Astech propose déjà une solution partielle. Benchmark à conduire pour déterminer la pertinence d’un outil commun.";;;NCH;Suite arbitrage DG : A étudier;
DEP;;07/10/2025;GEODP Sogelink;Projet;SDS;;0;OK DSI;;Poursuite du projet contacter nchemame@ivry94.fr;"Points réguliers à instaurer avec Sogelink (toutes les deux semaines).
Tests en cours : Fiabilité et pertinence de la solution à réévaluer.
Problèmes de facturation (TLPE, droits de voirie) à corriger.
Utilisation du tableau de suivi de Marc, réflexion sur un éventuel changement d’outil.
Tablettes : Accès réseau à autoriser pour consultation des fichiers Word (sans modification).
Enjeu : les recettes TLPE et droits de voirie représentent une source financière importante.";;;NCH;;Oui
DAC;;04/11/2025;Photocopieur couleur;Demande;MED;;3500;DG;;;Besoin d’un copieur couleur pour outils de com internes + animation ateliers enfants;;;SSD;Préciser l'usage;
DIRCOM;;09/09/2025;Projet GRU;Projet;GRU;;?;OK DSI;;AMO Schéma Directeur avec volet GRU;"Élaboration d’un cahier des charges (CDC) pour un déploiement prévu en 2026. Mise en œuvre effective de la GRU envisagée en 2027.
AMOA prévue en 2025, avec budget à arbitrer (proposition de Marc CHEVALIER).Priorisation actuelle : projet Elise.
DSI : prise en compte dans le schéma directeur SI (sous réserve d’arbitrage budgétaire).
DIRCOM : travail spécifique à prévoir, en lien avec l’ouverture de Jeanne Hachette.
Priorité Élise : intégration de la signature électronique (élément sortant + parapheur).";;;CLA;;Oui
DIRCOM;;09/09/2025;Infocom numérique Refonte du site internet;Projet;SICN;;0;OK DSI;;En cours;Accompagnement en cours. Marché ouvert. Candidature prévue fin septembre. Engagement BP 2025 : 1?? tranche estimée à 100 k€.;;;DIRCOM;;
DIRCOM;;09/09/2025;Projet changement logiciel CINDOC;Projet;SAP;;30000;DG 2026;1;En cours contacter claffrat@ivry94.fr;"Arrivée d’un nouvel archiviste. Réunion de lancement (CL) à organiser pour cadrer le projet. 
Logiciel actuel CINDOC jugé obsolète ? souhait de changement. Élaboration d’un cahier des charges (CDC). Étude de l’offre existante sur le marché (pistes : Avenio, etc.). Réunion à prévoir pour arbitrages.";;;CLA;;
DIRCOM;;09/09/2025;Gestion des stocks Astech;Projet;RPI;;2800;OK DSI;;Opportunité à étudier contacter nchemame@ivry94.fr;"Suivi des magasins via Astech (demande de GUILLOU). Passage en CST prévu en novembre. Référent : Samir Ben Slimane.
3 magasins GUILLOU WesterMeyer et autre donc 4 PDA a acheté";;;NCH;;
DIRCOM;;09/09/2025;Gestion des salles AGORA;Projet;RPI;;7500;DSI;;Plus de besoins validation ACL et MCH;"Compatibilité avec Elise : analyse commencée mais arrêtée ? à reprendre. Mise à jour nécessaire vers une version plus récente d’Agora.
Objectif : affichage des disponibilités. Démonstration prévue par C. LAFFRAT avec Pesqueira DVA InfoCOM.
Fonctionnalités disponibles, pré-demande, réservation complète et paiement en ligne possible";;;CLA;NOK - Pas de besoin, vu avec ACL;Oui
DIRCOM;;09/09/2025;Projet archives numériques et SAE;Projet;SAP;;20000;DG 2026;3;Projet Global;"Le service archive et patrimoine organise avec C LAFFRAT et Farouk BOUATOU une réunion
 pré cahier des charges sur le futur système de SAE";;;CLA;;
DIRCOM;;09/09/2025;Téléphonie;Projet;GRU;;?;OK DSI;;;Outils à définir, Statistiques du standard réalisées actuellement manuellement. Étude à mener : mise en place éventuelle d’un logiciel statistique + réflexion sur un centre d’appel si nécessaire. Réunion de cadrage à planifier : Pierre – Youcef.;;;IRS;;Oui
DJEUN;;01/10/2025;Borne tactile IJ BOX;Projet;DJEUN;;2500;DG 2026;1;A étudier et planifier contacter nchemame@ivry94.fr;NEOS à relancer. Enjeu : labellisation. Point complet à refaire. Fiche d’opportunité à rédiger. IJ BOX;;;NCH;Quel usage ?;Oui
DJEUN;;01/10/2025;Projet Bureau Mobile;Projet;DJEUN;;3000;OK DSI;;En cours contacter nchemame@ivry94.fr;"Démarrage prévu début 2026. Déploiement pour le service Information Jeunesse. Besoins : Imprimante compacte.
1 ordinateur par agent 3 agents (accès mail + droits étendus). 3 tablettes (à définir selon taille et besoins). Wi-Fi avec puces 5G.";;;NCH;;
DJEUN;;01/10/2025;Concerto;Projet;DJEUN;;?;OK DSI;;En cours de mise en œuvre N CHEMAME et S DRAME;"Sept grands types d’activités recensés. Suivi assuré avec Sedina.
Inscriptions réalisées via la Maison de la Jeunesse. Question : possible de s’inscrire à Concerto depuis un téléphone portable ?
Suivre aussi la liste des inscrits sur mobile.";;;NCH;;
DJEUN;;01/10/2025;Astech magasin;Projet;DJEUN;;1440;OK DSI;;Opportunité à étudier contacter nchemame@ivry94.fr;"Inventaire en cours, suivi par Florence Benoist. Recensement du matériel à la Manufacture des Œillets et Impasse Dufour.
Note d’opportunités à rédiger. Stock de matériel pédagogique et consommable à évaluer. Billetterie suivie dans Excel. 2 PDA";;;NCH;;
DRH;;11/09/2025;Inser;Projet;EDC;;?;OK DSI;;A étudier contacter ekron@ivry94.fr;Par la suite mettre en œuvre un calcul de FSO (formations statutaires obligatoires) des agents de manière globale;;;EKR;dans Sedit RH avec le N Plus 1;
DRH;;11/09/2025;Collaboratif;Projet;EDC;;0;OK DSI;;A étudier contacter lrigoulas@ivry94.fr;Teams, ils en sont très satisfaits mais il y a un sujet d'appropriation des outils collaboratifs Teams;;;LR;budgétaire;
DRH;;11/09/2025;Dématerialisation des bulletins de salaires;Projet;RDC;;0;DG 2027;2;A étudier en 2027;RDC n’aura pas la capacité de porter le projet (M Martial LUIT);;;BDP;On peut porter le projet;
DRH;;11/09/2025;Dématérialisation des CREP;Projet;EDC;;24 000;DG 2027;2;A étudier en 2027;Evolution à étudier, Inser propose un module de dématérialisation des CREP avec des workflows et reprises des souhaits de formations ;;;EKR;Suite arbitage DG : Mobiliser le service de Crystelle PETIT;
DRH;;11/09/2025;Dématérialisation des inscriptions aux formations CNFPT;Projet;EDC;;0;DG 2027;2;A étudier en 2027;"Souhait d'automatisation des inscriptions formation IEL du CNFPT avec Inser et eSedit RH, 
Eléna KRON a initialisé un groupe de travail pour étudier la mise en œuvre
Objectifs, automatisation des mises à jour des agents dans Inser en respectant les caractéristiques IEL du CNFPT et INSER";;;EKR;Suite arbitrage DG : Nécessite au préalable une base;
DRH;;11/09/2025;Portail agent RH / Inser;Projet;EDC;;18000;DG 2027;2;A étudier en 2027;Volonté d’étudier le déploiement du portail agent Inser;;;EKR;;
DRH;;11/09/2025;Dématerialisations;Projet;EDC;;?;DG 2027;2;A étudier en 2027;Des ordres de missions, demandes de remboursements des frais professionnels et formations sans lien obligatoirement avec la paie et Sedit RH ;;;EKR;Voir module portail agent ?;
DRH;;11/09/2025;Inser;Projet;EDC;;4000;OK DSI;;A étudier et planifier contacter ekron@ivry94.fr;Question de l’épuration de la base Inser (actuellement génère des éléments bloquants) sur l’historiques et les stages obsolètes;;;EKR;;
DRH;;11/09/2025;Business Objects;Projet;SIRH;;18000;OK DSI;;En cours contacter ekron@ivry94.fr;bonne installation mais les requêtes pointent sur le SIIM94 donc le SIRH doit les modifier ou reconstruire. Le couût est celui des licences avec maintenance selon Eléna;;;EKR;;
DRH;;11/09/2025;Outils décisionnels;Projet;SIRH;;?;OK DSI;;En cours contacter ekron@ivry94.fr;Il manque des états comme : Livraison des arrêté (NBI, arrêtés de demi-traitement etc...) ... Ne fonctionnent plus.;;;EKR;;
DRH;;11/09/2025;Wink;Projet;EDC;;?;OK DSI;;En cours contacter ytaraki@ivry94.fr;Wink manque statistiques donc il faudra voir comment ajouter les fonctionnalités manquantes;;;YTA;;
DRH;;11/09/2025;Adelyce : Prospectives et préparation budgétaires;Projet;SIRH;;90000;DG NOK;2;Logiciel abandonné;"Logiciel en Saas Adelyce acheté pour 3 ans, il est utilisé mais pas à 100%.
Evolutions, possibilité de remplacer Adelyce mais ils auraient besoin d'un spécialiste Sql pour refaire fonctionner leur outil de préparation budgétaire avec des scripts sur IvryDeci. Et dans ce cas Adelyce pourrait ne pas être reconduit fin 2026.
Mais ils voudront garder la partie observatoire d'Adelyce pour la prospective RH et budgétaire";;;EKR;Suite arbitage DG :Utilisation de BO pour la préparation;
DSALE;;18/11/2025;Interoperabilités Concerto;Projet;SE;;?;OK DSI;;A étudier contacter nchemame@ivry94.fr;"Quid de l'interopérabilité entre Concerto et Ondes (Educ Nat)? faire une réunion avec Nadir, RGPD, Julie Frances(pole familles)
Interopérabilité entre Concerto et CAF à étudier";;;NCH;;
DSALE;;18/11/2025;Groupe de travail communication interne ATSL;Projet;ATSL;;?;OK DSI ;;A étudier T4 2026 contacter claffrat@ivry94.fr;"Groupe de travail (CLA, MCH et LDA) avec DSI sur la communication interne au sein du service ATSL: Identifier le besoin précisément afin de pourvoir chaque agent d'un 
moyen de communication(adresse mail pour chaque agent évoqué)";;;CLA;;
DAC;;04/11/2025;Nouvel espace atelier Photo;Demande;AP-GLF;;?;DSI;;Etudier la demande;besoin d'une borne wifi, d'un IMac, étude à demander;;;IRS;;
DSALE;;18/11/2025;Manque réseau informatique;Demande;ATSL;;?;OK DSI ;;Etudier le comment;Le service a besoin de pouvoir travailler et avoir du réseau dans chaque école;;;IRS;;
DSALE;;18/11/2025;Données et Archivages;Projet;SE;;?;OK DSI;;En cours avec service des archives contacter claffrat@ivry94.fr;"Urgence de lutter contre la redondance des données, pb d'archivage, uniformiser le traitement des données dans la ville
Besoin d'un groupe de travail sur l’archivage.";;;DSI;Gouvernance des données / Archives;
DSALE;;18/11/2025;Logiciel de planification et de gestion des temps annualisés;Projet;ATSL;;?;DG 2026;1;En cours étude contacter claffrat@ivry94.fr;Car PLANNO non satisfaisant;;;CLA;;
DIRCOM;;09/09/2025;Accès serveur en télétravail (MAC);Demande;INFO;;0;OK DSI;;Fait;"Problème d’accès persistant depuis 1 an pour certains utilisateurs.
Les anciens Mac accèdent correctement, blocage sur d’autres configurations.";;;IRS;;
